Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698e2a64cc010d2cc333f9d7,671846c76953b192c9269992,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:49.018000Z,2026-02-12T19:50:27.868000Z,,2026-02-12T19:50:28.206611Z,1179.0,CWLQFHAM,3382,36,Female,White,United States,United States,United States,English,No,Full-Time
698e2a6534a04e56aa3612b2,66ad3561c1e5c019916365fb,AWAITING REVIEW,Not Applicable,2026-02-12T19:37:09.473000Z,2026-02-12T20:06:32.645000Z,,2026-02-12T20:06:33.263252Z,1764.0,CWLQFHAM,2329,51,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
698e2a66390ebd546739f213,5d88db42c1d06e001a1fdcab,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:58.838000Z,2026-02-12T19:48:32.375000Z,,2026-02-12T19:48:32.758316Z,1054.0,CWLQFHAM,20158,51,Female,White,United States,United States,United States,English,No,Full-Time
698e2a69533db53d969b48db,66c25b043e60bfc5a90e90fb,AWAITING REVIEW,Not Applicable,2026-02-12T19:30:53.687000Z,2026-02-12T19:50:12.895000Z,,2026-02-12T19:50:13.282689Z,1160.0,CWLQFHAM,801,28,Male,White,United States,United States,United States,English,No,Full-Time
698e2a6cc4b02aaeba97729c,665e680164927b18554b66ec,AWAITING REVIEW,Not Applicable,2026-02-12T19:32:12.401000Z,2026-02-12T19:54:17.044000Z,,2026-02-12T19:54:17.394200Z,1325.0,CWLQFHAM,3284,54,Male,White,United States,United States,United States,English,No,Full-Time
698e2a6e1ca7b18be2b61202,662c299e6db88649ff13ccae,AWAITING REVIEW,Not Applicable,2026-02-12T19:31:02.527000Z,2026-02-12T19:52:31.533000Z,,2026-02-12T19:52:31.908531Z,1290.0,CWLQFHAM,7220,57,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
698e2ad6b26e06818f3faf76,5a50f10eeedc32000141fccd,AWAITING REVIEW,Not Applicable,2026-02-12T19:32:44.382000Z,2026-02-12T20:17:09.981000Z,,2026-02-12T20:17:10.525486Z,2666.0,CWLQFHAM,4579,55,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
698e2c6f8ed5d3a410ef6e26,682cd328bd53185cbbb59840,RETURNED,Not Applicable,2026-02-12T19:42:31.555000Z,,,2026-02-13T15:06:22.427545Z,,,5523,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e301e7aa008c2cdbd247d,6636db94fa3ed150c2d78447,AWAITING REVIEW,Not Applicable,2026-02-12T19:55:15.328000Z,2026-02-12T20:14:02.319000Z,,2026-02-12T20:14:02.724126Z,1127.0,CWLQFHAM,5290,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
698e60ac54bb0264811d04e1,675e4fba8296e430d8df89ea,RETURNED,Not Applicable,2026-02-12T23:22:30.013000Z,,,2026-02-13T15:06:22.432876Z,,,180,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
